Accuracy,Precision,Recall,F1_Score,RoC_AuC,Modelo,Método LR,Método SigAPI,Método RFG,Método SigPID,Método JOWMDroid,Dataset,Combinação
97.4908935076066,81.73880030372058,75.72986282096377,78.61968230783275,87.31618292210715,RF,0,0,1,0,0,top_1401_features_with_chi2_motodroid_api_calls,RFG
94.6410970644954,69.52054794520548,21.4210341188885,32.750739446087664,60.4059103101801,RF,0,0,1,0,0,top_201_features_with_chi2_motodroid_intents,RFG
95.12341161599362,94.07678244972578,92.63726372637264,93.3514739229025,94.60904976103352,SVM,0,1,0,0,0,resultado-selecao-drebin_215_api_calls_limpo,SigAPI
89.48641607740974,0.0,0.0,0.0,50.0,SVM,0,1,0,0,0,resultado-selecao-androcrawl_intents,SigAPI
73.4902899707369,64.07871198568873,64.42446043165468,64.25112107623318,71.6170423728556,SVM,0,1,0,0,0,resultado-selecao-drebin_215_intents,SigAPI
95.8710664516396,95.88410104011888,63.45132743362832,76.36686390532545,81.56566279262108,SVM,0,1,0,0,0,resultado-selecao-androcrawl_api_calls,SigAPI
93.40695895150024,92.19674556213018,89.75697569756976,90.96050351181246,92.65180992561054,SVM,0,1,0,0,0,resultado-selecao-drebin_215_all,SigAPI
97.11574246371418,96.26379137412236,75.49655850540806,84.62471068003968,87.57614829454687,SVM,0,1,0,0,0,resultado-selecao-androcrawl_all,SigAPI
89.48641607740974,0.0,0.0,0.0,50.0,SVM,0,1,0,0,0,resultado-selecao-androcrawl_permissions,SigAPI
89.68475658419793,96.0698689956332,75.17985611510791,84.35072142064372,86.68764861475108,SVM,0,1,0,0,0,resultado-selecao-drebin_215_permissions,SigAPI
94.02614098992927,53.35775335775336,15.37108688005628,23.866739486619338,57.24973902722324,SVM,0,1,0,0,0,resultado-selecao-motodroid_intents,SigAPI
89.79116786379356,96.36028564846808,75.23381294964028,84.4965155034845,86.78322137562218,RF,0,1,0,0,0,resultado-selecao-drebin_215_permissions,SigAPI
