Accuracy,Precision,Recall,F1_Score,RoC_AuC,Metodo,Modelo,Dataset
94.02614098992927,53.35775335775336,15.37108688005628,23.866739486619338,57.24973902722324,Sig_API,SVM,svm_output_resultado-selecao-motodroid_intents.csv
96.81697886945376,95.14835094868204,73.47099311701082,82.9162736503357,86.51542308515683,Sig_PID,RF,rf_output_resultado_sigpid_androcrawl_all.csv
96.840755902907,95.3467618561958,73.53982300884955,83.03541689796825,86.5590799617155,Sig_PID,RF,rf_output_resultado_sigpid_androcrawl_api_calls.csv
89.48744986147294,66.66666666666666,0.0196656833824975,0.0393197680133687,50.00925522102629,Sig_PID,RF,rf_output_resultado_sigpid_androcrawl_intents.csv
89.48744986147294,66.66666666666666,0.0196656833824975,0.0393197680133687,50.00925522102629,Sig_PID,RF,rf_output_resultado_sigpid_androcrawl_permissions.csv
97.2789568225667,98.6573373676248,93.91539153915392,96.22798118601862,96.58306512373484,Sig_PID,RF,rf_output_resultado_sigpid_drebin_215_all.csv
95.24981704477412,95.9559521549269,90.98109810981096,93.40232858990944,94.3666571173791,Sig_PID,RF,rf_output_resultado_sigpid_drebin_215_api_calls_limpo.csv
67.6443202979516,55.066336200612334,67.93165467625899,60.82615347451485,67.70369141579938,Sig_PID,RF,rf_output_resultado_sigpid_drebin_215_commands.csv
79.22319765895185,75.577488450231,64.73021582733813,69.73454756830073,76.22855240501562,Sig_PID,RF,rf_output_resultado_sigpid_drebin_215_intents.csv
96.55493482309124,97.1214953271028,93.45323741007196,95.25206232813932,95.91403955771644,Sig_PID,RF,rf_output_resultado_sigpid_drebin_215_permissions.csv
93.90829226483822,0.0,0.0,0.0,50.0,Sig_PID,RF,rf_output_resultado_sigpid_motodroid_all.csv
93.90829226483822,0.0,0.0,0.0,50.0,Sig_PID,RF,rf_output_resultado_sigpid_motodroid_api_calls.csv
93.91472037711593,56.52173913043478,0.4572634540977841,0.9071877180739708,50.217223234567086,Sig_PID,RF,rf_output_resultado_sigpid_motodroid_intents.csv
93.90829226483822,0.0,0.0,0.0,50.0,Sig_PID,RF,rf_output_resultado_sigpid_motodroid_permissions.csv
96.81697886945376,95.14835094868204,73.47099311701082,82.9162736503357,86.51542308515683,Sig_PID,SVM,svm_output_resultado_sigpid_androcrawl_all.csv
96.840755902907,95.3467618561958,73.53982300884955,83.03541689796825,86.5590799617155,Sig_PID,SVM,svm_output_resultado_sigpid_androcrawl_api_calls.csv
89.48744986147294,100.0,0.0098328416912487,0.0196637498771015,50.004916420845625,Sig_PID,SVM,svm_output_resultado_sigpid_androcrawl_intents.csv
89.48744986147294,66.66666666666666,0.0196656833824975,0.0393197680133687,50.00925522102629,Sig_PID,SVM,svm_output_resultado_sigpid_androcrawl_permissions.csv
94.33836737409354,95.52845528455283,88.83888388838884,92.0623076205578,93.20057322321512,Sig_PID,SVM,svm_output_resultado_sigpid_drebin_215_all.csv
93.07431308628834,93.67260061919504,87.14671467146715,90.29189592464796,91.84794576967197,Sig_PID,SVM,svm_output_resultado_sigpid_drebin_215_api_calls_limpo.csv
67.6443202979516,55.066336200612334,67.93165467625899,60.82615347451485,67.70369141579938,Sig_PID,SVM,svm_output_resultado_sigpid_drebin_215_commands.csv
79.19659483905293,75.5677039529016,64.64028776978418,69.67816983326873,76.18886486420826,Sig_PID,SVM,svm_output_resultado_sigpid_drebin_215_intents.csv
94.69938813514231,97.48753738783648,87.931654676259,92.46335697399527,93.30098985395897,Sig_PID,SVM,svm_output_resultado_sigpid_drebin_215_permissions.csv
93.90829226483822,0.0,0.0,0.0,50.0,Sig_PID,SVM,svm_output_resultado_sigpid_motodroid_all.csv
93.90829226483822,0.0,0.0,0.0,50.0,Sig_PID,SVM,svm_output_resultado_sigpid_motodroid_api_calls.csv
93.91472037711593,56.52173913043478,0.4572634540977841,0.9071877180739708,50.217223234567086,Sig_PID,SVM,svm_output_resultado_sigpid_motodroid_intents.csv
93.90829226483822,0.0,0.0,0.0,50.0,Sig_PID,SVM,svm_output_resultado_sigpid_motodroid_permissions.csv
